municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Bodegraven-Reeuwijk,Zuid-Holland,52.082.326,4.746.084,88.6,75.7,13.0,32986,41200,275000,0.03,0,0,145,135,125,115,115,105,95,95,80,70,70,65,65,60,60,65,65,yellow,blue,,,spade,hat,deer,,,crown
Boekel,Noord-Brabant,51.602.879,5.674.316,34.5,34.5,0.0,10089,37300,260000,0.03,0,0,25,25,25,20,20,20,15,15,15,10,10,5,5,5,5,5,5,blue,yellow,,,church,,,,,
Borger-Odoorn,Drenthe,52.889.372,6.888.404,277.9,275.3,2.6,25633,33100,180000,0.05,0,0,60,45,35,30,20,20,15,10,10,10,15,10,10,15,10,10,10,yellow,black,,,spade,dolmen,,horse,horse,crown
Borne,Overijssel,52.300.237,6.753.726,26.2,26.0,0.2,21901,36300,207000,0.05,0,0,90,85,95,85,85,80,85,95,80,75,75,70,70,65,60,55,55,blue,yellow,,,beehive,bee,,,,crown
Borsele,Zeeland,51.447.691,3.803.318,194.5,141.7,52.8,22592,36200,209000,0.03,0,0,35,30,35,35,40,40,35,35,20,25,25,25,25,25,15,15,15,white,blue,red,,,,,,,crown
Boxmeer,Noord-Brabant,51.645.269,5.956.666,113.8,111.5,2.3,28135,37100,251000,0.04,0,0,185,155,150,140,135,115,105,100,100,90,80,75,65,70,70,65,55,red,yellow,,,goat,,,,,crown
Boxtel,Noord-Brabant,51.601.437,5.312.177,64.9,63.8,1.1,30325,35800,244000,0.04,1,0,70,75,75,80,75,85,75,75,70,70,65,65,60,60,60,55,55,red,white,yellow,,duck,,,,,saint peter
Breda,Noord-Brabant,51.571.915,4.768.323,128.7,126.0,2.6,179999,35200,221000,0.04,3,0,665,680,685,645,685,655,640,615,580,590,585,585,580,585,575,560,540,red,white,,,cross,,,lion,lion,angel
Brielle,Zuid-Holland,51.902.582,4.163.685,31.1,27.6,3.6,16306,38100,225000,0.04,0,0,65,65,65,55,55,50,40,40,40,40,40,40,40,35,35,30,25,white,red,,,,,,,centaur,crown
Bronckhorst,Gelderland,52.075.595,6.180.892,286.4,283.6,2.9,36941,36200,257000,0.04,0,0,145,135,110,90,70,60,65,55,50,50,50,50,40,45,40,40,35,white,purple,pink,,lion,crown,,,,crown
Brummen,Gelderland,52.090.167,6.158.015,85.0,84.0,1.0,21169,35600,240000,0.04,0,0,70,65,65,60,55,45,45,40,45,35,35,35,30,30,30,30,30,blue,orange,green,red,lion,branch,,,,
Brunssum,Limburg,50.948.896,5.972.166,17.3,17.2,0.1,28914,29400,133000,0.04,0,0,245,150,100,105,105,110,105,100,105,100,100,95,95,90,90,80,85,red,blue,,,cross,snake,pope,,,
Bunnik,Utrecht,52.066.528,5.200.776,37.6,37.0,0.6,14619,42600,271000,0.03,0,0,55,50,50,50,45,40,40,40,30,30,25,25,25,25,20,20,20,green,white,,,cock,ship,horse,eagle,lion,crown
Bunschoten,Utrecht,52.240.642,5.367.070,34.8,30.4,4.4,20547,39400,250000,0.03,0,0,40,60,60,60,60,65,60,50,50,40,45,40,40,35,35,35,35,blue,yellow,,,cross,eagle,,,,crown
Buren,Gelderland,51.910.389,5.334.058,142.9,134.3,8.7,25995,39500,282000,0.04,0,0,90,90,85,85,80,65,60,55,55,55,50,55,45,50,35,35,35,red,white,,,,,,lion,lion,crown
Capelle aan den IJssel,Zuid-Holland,51.938.073,4.591.778,15.4,14.3,1.2,66177,34700,176000,0.04,0,0,545,560,570,550,565,585,585,570,565,555,570,565,565,550,550,540,530,blue,white,,,fish,,,,,
Castricum,Noord-Holland,52.545.259,4.672.735,60.4,49.7,10.7,34244,40200,259000,0.03,0,0,100,90,85,75,70,60,60,60,65,65,65,60,50,55,55,50,45,blue,yellow,green,white,lion,acorn,plant,,,crown
Coevorden,Drenthe,52.661.357,6.741.062,299.7,296.5,3.2,35771,33200,191000,0.05,0,0,200,140,105,85,80,80,70,75,75,65,60,55,45,45,50,40,40,red,blue,yellow,,eagle,staff,lance,savage,savage,crown
Cranendonck,Noord-Brabant,51.286.922,5.596.695,78.1,76.5,1.6,20388,36600,241000,0.04,0,0,140,120,90,90,65,60,50,55,45,55,45,40,40,35,30,25,25,red,white,,,horn,,,,,eagle
Cromstrijen,Zuid-Holland,51.736.089,4.460.849,70.3,54.4,16.0,12748,39400,238000,0.04,0,0,50,45,55,50,40,35,35,30,15,15,15,20,20,20,15,15,15,blue,white,,,cross,wave,,,,crown
Cuijk,Noord-Brabant,51.728.927,5.879.209,57.1,51.3,5.8,24780,34200,212000,0.04,0,0,160,185,170,140,115,95,95,90,90,85,90,85,75,70,70,75,70,yellow,red,,,martlet,,,,,crown
Culemborg,Gelderland,51.956.108,5.240.045,31.1,29.4,1.7,27579,36300,220000,0.04,0,0,125,125,130,120,115,100,85,80,80,80,85,80,85,80,80,75,70,yellow,red,,,pillar,,,,,
Dalfsen,Overijssel,52.507.755,6.259.667,166.5,165.1,1.4,27655,37000,255000,0.04,0,0,70,65,65,55,40,40,35,30,25,25,25,25,25,25,25,25,20,blue,white,,,scythe,,,,,crown
